Aux out [V]	Aux in [V]	PDH out [a.u.]
-4.8549E-1	9.1316E-1	-1.2450E+3
-4.8455E-1	9.1146E-1	-1.1560E+3
-4.8361E-1	9.1462E-1	-9.6500E+2
-4.8267E-1	9.1438E-1	-7.9300E+2
-4.8172E-1	9.1729E-1	-8.6500E+2
-4.8067E-1	9.2361E-1	-1.1270E+3
-4.7961E-1	9.2215E-1	-6.0200E+2
-4.7866E-1	9.2506E-1	-7.9700E+2
-4.7772E-1	9.2822E-1	-9.3200E+2
-4.7678E-1	9.3162E-1	-8.0100E+2
-4.7572E-1	9.3624E-1	-9.7300E+2
-4.7478E-1	9.3794E-1	-8.2200E+2
-4.7384E-1	9.3818E-1	-1.2490E+3
-4.7290E-1	9.4231E-1	-1.1030E+3
-4.7196E-1	9.4693E-1	-1.1140E+3
-4.7090E-1	9.4766E-1	-7.6600E+2
-4.6996E-1	9.5009E-1	-1.0670E+3
-4.6902E-1	9.5373E-1	-6.8600E+2
-4.6808E-1	9.5567E-1	-7.6000E+2
-4.6713E-1	9.5665E-1	-4.0900E+2
-4.6608E-1	9.6150E-1	-7.8600E+2
-4.6513E-1	9.6369E-1	-8.8100E+2
-4.6419E-1	9.6588E-1	-4.2900E+2
-4.6313E-1	9.6758E-1	-6.9000E+2
-4.6219E-1	9.7001E-1	-2.2300E+2
-4.6113E-1	9.7341E-1	-6.8700E+2
-4.6019E-1	9.7438E-1	-1.3900E+3
-4.5925E-1	9.7632E-1	-7.4800E+2
-4.5831E-1	9.8045E-1	-4.5300E+2
-4.5737E-1	9.8215E-1	-8.8600E+2
-4.5643E-1	9.8288E-1	-9.6600E+2
-4.5537E-1	9.8434E-1	-9.5000E+2
-4.5443E-1	9.8653E-1	-9.1500E+2
-4.5349E-1	9.8823E-1	-7.9600E+2
-4.5255E-1	9.9090E-1	-6.8400E+2
-4.5160E-1	9.9211E-1	-7.5200E+2
-4.5055E-1	9.9454E-1	-9.9700E+2
-4.4960E-1	9.9430E-1	-7.9100E+2
-4.4866E-1	9.9624E-1	-1.2200E+3
-4.4772E-1	9.9819E-1	-4.4700E+2
-4.4666E-1	9.9843E-1	-8.0900E+2
-4.4560E-1	1.0001E+0	-6.7000E+2
-4.4466E-1	1.0018E+0	-3.8700E+2
-4.4372E-1	1.0038E+0	-5.2500E+2
-4.4278E-1	1.0038E+0	-3.6600E+2
-4.4184E-1	1.0072E+0	-9.0400E+2
-4.4078E-1	1.0067E+0	-4.8000E+1
-4.3984E-1	1.0074E+0	-8.3900E+2
-4.3890E-1	1.0069E+0	-6.0600E+2
-4.3796E-1	1.0072E+0	-1.2710E+3
-4.3701E-1	1.0091E+0	-4.9700E+2
-4.3596E-1	1.0098E+0	-6.3500E+2
-4.3501E-1	1.0084E+0	-4.4100E+2
-4.3407E-1	1.0098E+0	2.8100E+2
-4.3313E-1	1.0091E+0	-1.7600E+2
-4.3219E-1	1.0106E+0	-6.1700E+2
-4.3125E-1	1.0091E+0	-7.4100E+2
-4.3007E-1	1.0086E+0	3.3100E+2
-4.2913E-1	1.0108E+0	-8.4000E+1
-4.2819E-1	1.0077E+0	-1.8700E+2
-4.2725E-1	1.0086E+0	-4.1900E+2
-4.2631E-1	1.0084E+0	-9.7000E+1
-4.2525E-1	1.0079E+0	-9.7500E+2
-4.2431E-1	1.0067E+0	-1.6300E+2
-4.2337E-1	1.0069E+0	-2.2600E+2
-4.2243E-1	1.0045E+0	-3.3400E+2
-4.2148E-1	1.0052E+0	-1.3000E+1
-4.2043E-1	1.0035E+0	1.0500E+2
-4.1948E-1	1.0033E+0	-9.0000E+1
-4.1854E-1	1.0018E+0	2.3000E+1
-4.1760E-1	1.0001E+0	-6.3700E+2
-4.1666E-1	9.9794E-1	-3.5400E+2
-4.1560E-1	9.9770E-1	-3.3100E+2
-4.1466E-1	9.9770E-1	-6.0300E+2
-4.1360E-1	9.9430E-1	-3.2300E+2
-4.1266E-1	9.9284E-1	3.9600E+2
-4.1172E-1	9.9017E-1	4.9000E+1
-4.1066E-1	9.8968E-1	-5.3800E+2
-4.0972E-1	9.8580E-1	-2.7000E+2
-4.0878E-1	9.8410E-1	-1.9000E+2
-4.0784E-1	9.8215E-1	4.0600E+2
-4.0689E-1	9.8045E-1	-7.3000E+1
-4.0595E-1	9.7681E-1	-4.0900E+2
-4.0489E-1	9.7414E-1	-5.4100E+2
-4.0395E-1	9.7049E-1	-1.9800E+2
-4.0301E-1	9.6855E-1	5.6000E+1
-4.0207E-1	9.6442E-1	2.0000E+1
-4.0113E-1	9.6248E-1	-2.8300E+2
-4.0007E-1	9.5762E-1	-3.0700E+2
-3.9913E-1	9.5470E-1	1.6400E+2
-3.9819E-1	9.5252E-1	2.6300E+2
-3.9713E-1	9.4814E-1	2.8900E+2
-3.9619E-1	9.4620E-1	3.4600E+2
-3.9513E-1	9.4158E-1	1.0300E+2
-3.9419E-1	9.3648E-1	3.1600E+2
-3.9325E-1	9.3332E-1	1.1000E+2
-3.9231E-1	9.2919E-1	7.8600E+2
-3.9136E-1	9.2482E-1	1.7000E+2
-3.9031E-1	9.1996E-1	6.1600E+2
-3.8936E-1	9.1365E-1	3.7400E+2
-3.8842E-1	9.1097E-1	2.3200E+2
-3.8748E-1	9.0539E-1	5.2300E+2
-3.8654E-1	9.0199E-1	8.4000E+2
-3.8548E-1	8.9834E-1	1.1520E+3
-3.8454E-1	8.9105E-1	5.4000E+2
-3.8360E-1	8.8547E-1	5.9700E+2
-3.8266E-1	8.8109E-1	5.2600E+2
-3.8172E-1	8.7624E-1	4.5600E+2
-3.8066E-1	8.6968E-1	4.6200E+2
-3.7960E-1	8.6579E-1	6.9800E+2
-3.7866E-1	8.5899E-1	1.5000E+2
-3.7772E-1	8.5267E-1	7.6200E+2
-3.7677E-1	8.4514E-1	4.6200E+2
-3.7583E-1	8.4052E-1	1.8200E+2
-3.7477E-1	8.3639E-1	8.8700E+2
-3.7383E-1	8.2862E-1	8.8800E+2
-3.7289E-1	8.2400E-1	4.8900E+2
-3.7195E-1	8.1720E-1	8.0100E+2
-3.7101E-1	8.1113E-1	7.1100E+2
-3.6995E-1	8.0530E-1	1.3560E+3
-3.6901E-1	7.9850E-1	6.4100E+2
-3.6807E-1	7.8975E-1	6.4600E+2
-3.6713E-1	7.8611E-1	6.7200E+2
-3.6619E-1	7.7809E-1	9.6300E+2
-3.6501E-1	7.7129E-1	5.8800E+2
-3.6407E-1	7.6497E-1	1.3100E+2
-3.6313E-1	7.5793E-1	7.0100E+2
-3.6219E-1	7.5040E-1	9.4900E+2
-3.6124E-1	7.4116E-1	8.6900E+2
-3.6019E-1	7.3582E-1	4.0400E+2
-3.5924E-1	7.2902E-1	1.0930E+3
-3.5830E-1	7.2197E-1	4.9300E+2
-3.5736E-1	7.1541E-1	1.6750E+3
-3.5642E-1	7.0691E-1	6.8900E+2
-3.5548E-1	7.0205E-1	1.3620E+3
-3.5442E-1	6.9379E-1	3.1300E+2
-3.5348E-1	6.8723E-1	1.2540E+3
-3.5254E-1	6.7995E-1	1.5350E+3
-3.5160E-1	6.7387E-1	1.0640E+3
-3.5066E-1	6.6610E-1	6.4300E+2
-3.4960E-1	6.5881E-1	1.0350E+3
-3.4854E-1	6.5322E-1	9.4200E+2
-3.4760E-1	6.4593E-1	8.9300E+2
-3.4666E-1	6.3889E-1	1.1740E+3
-3.4571E-1	6.3014E-1	7.0200E+2
-3.4465E-1	6.2504E-1	1.2090E+3
-3.4371E-1	6.1630E-1	6.7300E+2
-3.4277E-1	6.1290E-1	9.4400E+2
-3.4183E-1	6.0464E-1	9.5100E+2
-3.4089E-1	5.9953E-1	1.0600E+3
-3.3983E-1	5.9200E-1	4.3300E+2
-3.3889E-1	5.8593E-1	8.6300E+2
-3.3795E-1	5.7913E-1	1.3120E+3
-3.3701E-1	5.7233E-1	3.4000E+2
-3.3607E-1	5.6674E-1	6.7600E+2
-3.3501E-1	5.6042E-1	1.2760E+3
-3.3407E-1	5.5508E-1	1.5520E+3
-3.3312E-1	5.4900E-1	9.4600E+2
-3.3207E-1	5.4512E-1	1.0500E+3
-3.3112E-1	5.3661E-1	3.2700E+2
-3.3018E-1	5.3273E-1	4.9400E+2
-3.2912E-1	5.2811E-1	2.8300E+2
-3.2818E-1	5.2374E-1	3.4700E+2
-3.2724E-1	5.2204E-1	3.6500E+2
-3.2630E-1	5.1767E-1	3.6200E+2
-3.2536E-1	5.1378E-1	9.2000E+2
