Aux out [V]	Aux in [V]	PDH out [a.u.]
-5.1055E-1	9.3430E-1	-6.2900E+2
-5.0961E-1	9.3114E-1	-1.3410E+3
-5.0867E-1	9.3478E-1	-1.0120E+3
-5.0773E-1	9.3794E-1	-1.0660E+3
-5.0678E-1	9.3770E-1	-6.8100E+2
-5.0584E-1	9.4013E-1	-4.7300E+2
-5.0490E-1	9.4523E-1	-1.0290E+3
-5.0396E-1	9.4474E-1	-1.3170E+3
-5.0302E-1	9.4814E-1	-1.1340E+3
-5.0208E-1	9.5009E-1	-4.8200E+2
-5.0114E-1	9.5252E-1	-1.2970E+3
-5.0020E-1	9.5640E-1	-9.6700E+2
-4.9925E-1	9.5665E-1	-1.3470E+3
-4.9831E-1	9.5956E-1	-2.7800E+2
-4.9737E-1	9.6150E-1	-1.2100E+3
-4.9643E-1	9.6563E-1	-1.1000E+3
-4.9549E-1	9.6612E-1	-1.1520E+3
-4.9455E-1	9.6928E-1	-6.9200E+2
-4.9361E-1	9.7146E-1	-4.4900E+2
-4.9267E-1	9.7365E-1	-9.9000E+2
-4.9161E-1	9.7487E-1	-5.1700E+2
-4.9078E-1	9.7705E-1	-1.5500E+3
-4.8984E-1	9.7997E-1	-7.5600E+2
-4.8890E-1	9.8191E-1	-5.8400E+2
-4.8796E-1	9.8483E-1	-4.7500E+2
-4.8690E-1	9.8604E-1	-7.0600E+2
-4.8608E-1	9.8896E-1	-8.3800E+2
-4.8514E-1	9.8920E-1	-1.3320E+3
-4.8419E-1	9.9090E-1	-8.8300E+2
-4.8325E-1	9.9406E-1	-6.5500E+2
-4.8231E-1	9.9527E-1	-1.2520E+3
-4.8137E-1	9.9746E-1	-8.9500E+2
-4.8043E-1	9.9843E-1	-6.2800E+2
-4.7949E-1	1.0016E+0	-6.6100E+2
-4.7855E-1	1.0013E+0	-9.3500E+2
-4.7761E-1	1.0023E+0	-7.6900E+2
-4.7666E-1	1.0028E+0	-8.1100E+2
-4.7572E-1	1.0045E+0	-7.6000E+1
-4.7478E-1	1.0060E+0	-9.2300E+2
-4.7384E-1	1.0067E+0	-7.4800E+2
-4.7290E-1	1.0074E+0	-6.8400E+2
-4.7196E-1	1.0089E+0	-1.0300E+3
-4.7102E-1	1.0094E+0	-4.7900E+2
-4.7008E-1	1.0079E+0	-4.4700E+2
-4.6913E-1	1.0091E+0	-4.4300E+2
-4.6819E-1	1.0115E+0	-1.3130E+3
-4.6725E-1	1.0113E+0	-6.6500E+2
-4.6631E-1	1.0130E+0	-4.2400E+2
-4.6537E-1	1.0128E+0	-1.0900E+2
-4.6443E-1	1.0108E+0	-4.3100E+2
-4.6349E-1	1.0130E+0	-2.0500E+2
-4.6255E-1	1.0128E+0	-7.6000E+2
-4.6160E-1	1.0125E+0	-2.4000E+2
-4.6066E-1	1.0113E+0	3.3000E+1
-4.5972E-1	1.0115E+0	-6.0700E+2
-4.5878E-1	1.0113E+0	-6.3900E+2
-4.5796E-1	1.0113E+0	-8.7600E+2
-4.5690E-1	1.0120E+0	-3.6700E+2
-4.5596E-1	1.0089E+0	-2.1300E+2
-4.5502E-1	1.0101E+0	-4.6700E+2
-4.5407E-1	1.0089E+0	-2.8700E+2
-4.5325E-1	1.0101E+0	-3.6100E+2
-4.5219E-1	1.0069E+0	-5.3300E+2
-4.5125E-1	1.0052E+0	-2.8000E+2
-4.5031E-1	1.0047E+0	-6.6000E+1
-4.4937E-1	1.0033E+0	3.2800E+2
-4.4843E-1	1.0016E+0	2.0000E+1
-4.4749E-1	1.0009E+0	-7.7000E+1
-4.4654E-1	9.9965E-1	2.5100E+2
-4.4560E-1	9.9722E-1	9.5000E+1
-4.4466E-1	9.9576E-1	-1.7500E+2
-4.4372E-1	9.9381E-1	1.2100E+2
-4.4278E-1	9.9260E-1	-1.0200E+2
-4.4184E-1	9.9066E-1	9.3000E+1
-4.4090E-1	9.8750E-1	-2.1600E+2
-4.3996E-1	9.8410E-1	4.7900E+2
-4.3901E-1	9.8337E-1	-5.6000E+1
-4.3807E-1	9.8070E-1	5.5600E+2
-4.3713E-1	9.7875E-1	1.2000E+2
-4.3619E-1	9.7584E-1	7.3200E+2
-4.3525E-1	9.7244E-1	2.5800E+2
-4.3431E-1	9.7122E-1	6.8400E+2
-4.3349E-1	9.6685E-1	2.1100E+2
-4.3243E-1	9.6491E-1	-9.8000E+1
-4.3148E-1	9.6150E-1	1.8000E+2
-4.3054E-1	9.5786E-1	7.8000E+1
-4.2960E-1	9.5470E-1	3.9800E+2
-4.2878E-1	9.5082E-1	4.1400E+2
-4.2772E-1	9.4693E-1	1.5800E+2
-4.2678E-1	9.4280E-1	7.3500E+2
-4.2584E-1	9.3891E-1	-1.7800E+2
-4.2490E-1	9.3551E-1	4.7600E+2
-4.2407E-1	9.3065E-1	7.2100E+2
-4.2301E-1	9.2798E-1	4.3100E+2
-4.2207E-1	9.2409E-1	9.5400E+2
-4.2113E-1	9.1996E-1	7.8800E+2
-4.2019E-1	9.1389E-1	-8.0000E+0
-4.1937E-1	9.0903E-1	4.3500E+2
-4.1831E-1	9.0417E-1	3.4000E+1
-4.1737E-1	9.0053E-1	1.2300E+2
-4.1642E-1	8.9397E-1	5.4400E+2
-4.1548E-1	8.9081E-1	4.5900E+2
-4.1466E-1	8.8498E-1	4.9200E+2
-4.1360E-1	8.7842E-1	8.3300E+2
-4.1266E-1	8.7599E-1	5.4500E+2
-4.1172E-1	8.6846E-1	7.7000E+2
-4.1078E-1	8.6506E-1	5.3800E+2
-4.0995E-1	8.5899E-1	5.8600E+2
-4.0901E-1	8.5413E-1	1.1190E+3
-4.0795E-1	8.4927E-1	7.9300E+2
-4.0701E-1	8.4271E-1	3.6000E+1
-4.0607E-1	8.3542E-1	7.4800E+2
-4.0525E-1	8.2886E-1	1.0100E+3
-4.0431E-1	8.2449E-1	1.0010E+3
-4.0325E-1	8.1623E-1	9.4800E+2
-4.0231E-1	8.1089E-1	1.1620E+3
-4.0137E-1	8.0554E-1	8.5300E+2
-4.0042E-1	7.9801E-1	1.4460E+3
-3.9960E-1	7.8951E-1	3.8200E+2
-3.9854E-1	7.8343E-1	9.6400E+2
-3.9760E-1	7.8028E-1	6.2100E+2
-3.9666E-1	7.7032E-1	6.1000E+2
-3.9572E-1	7.6546E-1	1.4830E+3
-3.9489E-1	7.5914E-1	1.5500E+2
-3.9384E-1	7.5137E-1	1.2010E+3
-3.9289E-1	7.4408E-1	1.2200E+3
-3.9195E-1	7.3679E-1	7.8400E+2
-3.9101E-1	7.2902E-1	1.0560E+3
-3.9019E-1	7.2149E-1	9.3100E+2
-3.8913E-1	7.1590E-1	1.3190E+3
-3.8819E-1	7.0861E-1	1.3180E+3
-3.8725E-1	7.0254E-1	7.5700E+2
-3.8631E-1	6.9476E-1	6.1700E+2
-3.8548E-1	6.8748E-1	1.3350E+3
-3.8454E-1	6.8140E-1	9.6500E+2
-3.8348E-1	6.7266E-1	4.2500E+2
-3.8254E-1	6.6780E-1	6.6800E+2
-3.8160E-1	6.5954E-1	8.7900E+2
-3.8078E-1	6.5371E-1	7.3800E+2
-3.7983E-1	6.4593E-1	9.4500E+2
-3.7878E-1	6.3865E-1	6.8400E+2
-3.7783E-1	6.3427E-1	3.5000E+2
-3.7689E-1	6.2431E-1	1.1540E+3
-3.7607E-1	6.1824E-1	5.8800E+2
-3.7513E-1	6.1241E-1	1.5540E+3
-3.7407E-1	6.0561E-1	1.1670E+3
-3.7313E-1	5.9929E-1	1.0000E+3
-3.7219E-1	5.9200E-1	6.6900E+2
-3.7136E-1	5.8472E-1	5.8300E+2
-3.7042E-1	5.7816E-1	6.5700E+2
-3.6936E-1	5.7403E-1	1.9900E+2
-3.6842E-1	5.6601E-1	5.0000E+0
-3.6748E-1	5.5994E-1	1.0600E+3
-3.6666E-1	5.5629E-1	8.4600E+2
-3.6572E-1	5.4803E-1	4.2000E+2
-3.6466E-1	5.4196E-1	1.1200E+3
-3.6372E-1	5.3686E-1	6.6200E+2
-3.6277E-1	5.2957E-1	5.3700E+2
-3.6195E-1	5.2447E-1	1.0020E+3
-3.6101E-1	5.1791E-1	6.8600E+2
-3.6007E-1	5.1232E-1	2.4100E+2
-3.5901E-1	5.0746E-1	2.9100E+2
-3.5807E-1	5.0333E-1	7.3200E+2
-3.5724E-1	4.9677E-1	5.6500E+2
-3.5630E-1	4.9264E-1	2.8800E+2
-3.5536E-1	4.8779E-1	6.2300E+2
-3.5430E-1	4.8341E-1	7.9300E+2
-3.5336E-1	4.7758E-1	5.7400E+2
-3.5242E-1	4.7199E-1	5.9500E+2
-3.5160E-1	4.6908E-1	3.4100E+2
-3.5066E-1	4.6592E-1	3.4500E+2
-3.4960E-1	4.5863E-1	7.1400E+2
-3.4866E-1	4.5718E-1	3.2400E+2
-3.4771E-1	4.5135E-1	9.0400E+2
-3.4689E-1	4.4964E-1	6.3900E+2
-3.4595E-1	4.4479E-1	7.4200E+2
-3.4489E-1	4.4260E-1	6.1800E+2
-3.4395E-1	4.3798E-1	5.3500E+2
-3.4301E-1	4.3434E-1	7.5300E+2
-3.4218E-1	4.3045E-1	-7.3000E+1
-3.4124E-1	4.2972E-1	3.4600E+2
-3.4018E-1	4.2389E-1	3.6000E+1
-3.3924E-1	4.2268E-1	-1.9800E+2
-3.3830E-1	4.2074E-1	3.2900E+2
-3.3748E-1	4.1855E-1	-2.8900E+2
-3.3654E-1	4.1685E-1	-1.5000E+1
-3.3560E-1	4.1272E-1	4.0900E+2
-3.3454E-1	4.1126E-1	-7.5700E+2
-3.3360E-1	4.0737E-1	2.7600E+2
-3.3277E-1	4.0786E-1	-2.8400E+2
-3.3183E-1	4.0495E-1	-5.4000E+2
-3.3089E-1	4.0495E-1	3.3400E+2
-3.2983E-1	4.0495E-1	-1.8100E+2
-3.2889E-1	4.0373E-1	-4.4700E+2
-3.2807E-1	4.0203E-1	2.4000E+1
-3.2712E-1	3.9911E-1	3.4800E+2
-3.2618E-1	3.9936E-1	-1.0540E+3
-3.2512E-1	3.9693E-1	-6.5100E+2
-3.2418E-1	3.9620E-1	-1.7300E+2
-3.2336E-1	3.9887E-1	-6.2400E+2
-3.2242E-1	3.9790E-1	-2.1600E+2
-3.2148E-1	3.9669E-1	-9.3000E+1
-3.2042E-1	3.9571E-1	2.6500E+2
-3.1948E-1	3.9741E-1	-3.7600E+2
-3.1865E-1	3.9766E-1	2.0400E+2
-3.1771E-1	3.9960E-1	-9.9000E+1
-3.1677E-1	4.0106E-1	3.8900E+2
-3.1571E-1	3.9911E-1	-4.9900E+2
-3.1477E-1	4.0227E-1	-1.3700E+2
-3.1395E-1	4.0203E-1	-1.8600E+2
-3.1301E-1	4.0349E-1	-4.2700E+2
-3.1206E-1	4.0640E-1	-1.5900E+2
-3.1112E-1	4.0567E-1	-5.1600E+2
-3.1006E-1	4.0859E-1	-7.9300E+2
-3.0924E-1	4.1053E-1	-7.3900E+2
-3.0830E-1	4.1248E-1	-3.7100E+2
-3.0736E-1	4.1563E-1	-5.0600E+2
-3.0642E-1	4.1904E-1	-8.2100E+2
-3.0536E-1	4.2195E-1	-9.6600E+2
-3.0442E-1	4.2244E-1	-8.1600E+2
-3.0359E-1	4.2535E-1	-3.8500E+2
-3.0265E-1	4.2972E-1	-6.9000E+2
-3.0171E-1	4.3191E-1	-7.5200E+2
-3.0065E-1	4.3555E-1	-7.8800E+2
-2.9971E-1	4.3823E-1	-4.6400E+2
-2.9889E-1	4.4041E-1	-1.0060E+3
-2.9795E-1	4.4552E-1	-8.6100E+2
-2.9700E-1	4.4892E-1	-3.3800E+2
-2.9595E-1	4.5280E-1	-1.4190E+3
-2.9500E-1	4.5620E-1	-3.6000E+1
-2.9418E-1	4.6082E-1	-1.1260E+3
-2.9324E-1	4.6544E-1	-8.4600E+2
-2.9230E-1	4.7054E-1	-1.6910E+3
-2.9124E-1	4.7564E-1	-1.1620E+3
-2.9030E-1	4.7758E-1	-7.7500E+2
-2.8947E-1	4.8317E-1	-1.1190E+3
-2.8853E-1	4.8924E-1	-9.8100E+2
-2.8759E-1	4.9434E-1	-8.2100E+2
-2.8665E-1	4.9920E-1	-1.5070E+3
-2.8559E-1	5.0576E-1	-1.2450E+3
-2.8477E-1	5.1062E-1	-9.9200E+2
-2.8383E-1	5.1621E-1	-1.1860E+3
-2.8289E-1	5.2107E-1	-1.3420E+3
-2.8194E-1	5.2836E-1	-1.1380E+3
-2.8089E-1	5.3370E-1	-1.0300E+3
-2.8006E-1	5.4002E-1	-1.3350E+3
-2.7912E-1	5.4512E-1	-1.1270E+3
-2.7818E-1	5.5119E-1	-1.4600E+3
-2.7724E-1	5.5775E-1	-1.2370E+3
-2.7618E-1	5.6480E-1	-1.1150E+3
-2.7536E-1	5.7281E-1	-1.1750E+3
-2.7441E-1	5.7767E-1	-2.0010E+3
-2.7347E-1	5.8472E-1	-8.4100E+2
-2.7253E-1	5.9298E-1	-1.1780E+3
-2.7147E-1	6.0051E-1	-1.4620E+3
-2.7065E-1	6.0804E-1	-1.5250E+3
