Aux out [V]	Aux in [V]	PDH out [a.u.]
2.4009E-1	6.5978E-1	2.8500E+2
2.4009E-1	6.6075E-1	1.0170E+3
2.4021E-1	6.6100E-1	8.9400E+2
2.4021E-1	6.6124E-1	9.4800E+2
2.4021E-1	6.6027E-1	1.1300E+3
2.4033E-1	6.6148E-1	9.8200E+2
2.4033E-1	6.6002E-1	7.0000E+2
2.4033E-1	6.5881E-1	8.8200E+2
2.4045E-1	6.5930E-1	1.2420E+3
2.4045E-1	6.6051E-1	9.8400E+2
2.4045E-1	6.6027E-1	4.5600E+2
2.4057E-1	6.6173E-1	6.2100E+2
2.4057E-1	6.6075E-1	1.1000E+3
2.4057E-1	6.5978E-1	1.2160E+3
2.4068E-1	6.6051E-1	9.1200E+2
2.4068E-1	6.5954E-1	1.4340E+3
2.4080E-1	6.5954E-1	1.8200E+2
2.4080E-1	6.6027E-1	1.1100E+3
2.4080E-1	6.6051E-1	9.0400E+2
2.4092E-1	6.6002E-1	5.4300E+2
2.4092E-1	6.5905E-1	1.0930E+3
2.4092E-1	6.5857E-1	1.0030E+3
2.4104E-1	6.5930E-1	8.6000E+2
2.4104E-1	6.5905E-1	5.9300E+2
2.4104E-1	6.5784E-1	8.1500E+2
2.4115E-1	6.5760E-1	3.8300E+2
2.4115E-1	6.5832E-1	1.6760E+3
2.4115E-1	6.6027E-1	1.0090E+3
2.4127E-1	6.5905E-1	1.2350E+3
2.4127E-1	6.5784E-1	8.5900E+2
2.4139E-1	6.5954E-1	9.3200E+2
2.4139E-1	6.5905E-1	1.1320E+3
2.4139E-1	6.5857E-1	1.0670E+3
2.4151E-1	6.5954E-1	9.5000E+2
2.4151E-1	6.5857E-1	6.9800E+2
2.4151E-1	6.5930E-1	7.9600E+2
2.4162E-1	6.5857E-1	1.0140E+3
2.4162E-1	6.6027E-1	9.1100E+2
2.4162E-1	6.5930E-1	8.4600E+2
2.4174E-1	6.6002E-1	4.6400E+2
2.4174E-1	6.6100E-1	1.5030E+3
2.4174E-1	6.5978E-1	1.0000E+3
2.4186E-1	6.5978E-1	4.0400E+2
2.4186E-1	6.5857E-1	9.6200E+2
2.4186E-1	6.6002E-1	8.2000E+2
2.4198E-1	6.6173E-1	1.0600E+3
2.4198E-1	6.6075E-1	5.8900E+2
2.4209E-1	6.6027E-1	9.8500E+2
2.4209E-1	6.5978E-1	9.9900E+2
2.4209E-1	6.5905E-1	3.8000E+2
2.4221E-1	6.6051E-1	4.8300E+2
2.4221E-1	6.5832E-1	6.5700E+2
2.4221E-1	6.5954E-1	1.2020E+3
2.4233E-1	6.6027E-1	3.5700E+2
2.4233E-1	6.5978E-1	8.1200E+2
2.4233E-1	6.5760E-1	1.1940E+3
2.4245E-1	6.6075E-1	7.1500E+2
2.4245E-1	6.5978E-1	9.8900E+2
2.4245E-1	6.5954E-1	8.0100E+2
2.4257E-1	6.5905E-1	9.6100E+2
2.4257E-1	6.5832E-1	9.1000E+2
2.4268E-1	6.6002E-1	1.1800E+3
2.4268E-1	6.5881E-1	5.3400E+2
2.4268E-1	6.5905E-1	6.1800E+2
2.4280E-1	6.5930E-1	1.2880E+3
