Aux out [V]	Aux in [V]	PDH out [a.u.]
-4.1607E-1	9.9989E-1	-6.2700E+2
-4.1572E-1	9.9940E-1	-1.1300E+3
-4.1548E-1	1.0013E+0	1.7600E+2
-4.1513E-1	1.0013E+0	-5.9600E+2
-4.1478E-1	1.0013E+0	-1.0110E+3
-4.1442E-1	1.0009E+0	-7.5800E+2
-4.1407E-1	9.9965E-1	-5.3200E+2
-4.1384E-1	1.0018E+0	-5.1100E+2
-4.1348E-1	1.0023E+0	-9.5400E+2
-4.1313E-1	1.0018E+0	-1.7300E+2
-4.1278E-1	1.0009E+0	-5.0600E+2
-4.1242E-1	1.0021E+0	-8.0600E+2
-4.1219E-1	1.0043E+0	-8.1900E+2
-4.1184E-1	1.0033E+0	-6.4800E+2
-4.1148E-1	1.0040E+0	-9.1100E+2
-4.1113E-1	1.0045E+0	-7.0900E+2
-4.1078E-1	1.0043E+0	-9.2600E+2
-4.1054E-1	1.0035E+0	-6.8900E+2
-4.1019E-1	1.0050E+0	-1.1940E+3
-4.0984E-1	1.0050E+0	-9.4500E+2
-4.0948E-1	1.0057E+0	-6.6700E+2
-4.0913E-1	1.0064E+0	-8.0900E+2
-4.0878E-1	1.0047E+0	-1.3750E+3
-4.0854E-1	1.0077E+0	-5.2800E+2
-4.0819E-1	1.0089E+0	-4.8200E+2
-4.0784E-1	1.0064E+0	-9.1100E+2
-4.0748E-1	1.0060E+0	-6.5900E+2
-4.0713E-1	1.0084E+0	6.3000E+1
-4.0689E-1	1.0074E+0	-4.7400E+2
-4.0654E-1	1.0086E+0	-5.7100E+2
-4.0619E-1	1.0101E+0	-6.1400E+2
-4.0584E-1	1.0101E+0	-7.1000E+2
-4.0548E-1	1.0089E+0	-7.2400E+2
-4.0525E-1	1.0081E+0	-8.8000E+2
-4.0489E-1	1.0091E+0	-1.0000E+3
-4.0454E-1	1.0079E+0	-5.8500E+2
-4.0419E-1	1.0089E+0	-6.9200E+2
-4.0384E-1	1.0098E+0	-5.5100E+2
-4.0348E-1	1.0101E+0	-3.6000E+1
-4.0325E-1	1.0101E+0	-5.2200E+2
-4.0289E-1	1.0111E+0	-2.9800E+2
-4.0254E-1	1.0111E+0	-5.0600E+2
-4.0219E-1	1.0103E+0	-3.1000E+2
-4.0184E-1	1.0128E+0	-6.2600E+2
-4.0160E-1	1.0111E+0	-8.3500E+2
-4.0125E-1	1.0113E+0	-5.8300E+2
-4.0089E-1	1.0106E+0	-8.4700E+2
-4.0054E-1	1.0132E+0	1.2000E+2
-4.0019E-1	1.0106E+0	-8.0400E+2
-3.9995E-1	1.0118E+0	-1.5000E+2
-3.9960E-1	1.0108E+0	-5.2000E+2
-3.9925E-1	1.0125E+0	-4.7100E+2
-3.9889E-1	1.0115E+0	-8.5500E+2
-3.9854E-1	1.0115E+0	-1.8800E+2
-3.9831E-1	1.0115E+0	-7.8200E+2
-3.9795E-1	1.0106E+0	-3.7000E+2
-3.9760E-1	1.0115E+0	-6.2400E+2
-3.9725E-1	1.0115E+0	-4.1000E+1
-3.9689E-1	1.0120E+0	-1.8400E+2
-3.9654E-1	1.0125E+0	-8.0000E+0
-3.9631E-1	1.0113E+0	-3.7700E+2
-3.9595E-1	1.0115E+0	-1.1200E+2
-3.9560E-1	1.0108E+0	-5.9100E+2
-3.9525E-1	1.0137E+0	-6.8100E+2
-3.9489E-1	1.0115E+0	-2.5800E+2
-3.9466E-1	1.0103E+0	-3.8600E+2
-3.9431E-1	1.0106E+0	-8.9700E+2
-3.9395E-1	1.0125E+0	-2.2200E+2
-3.9360E-1	1.0118E+0	-6.1300E+2
-3.9325E-1	1.0103E+0	-5.0400E+2
-3.9301E-1	1.0103E+0	-6.6500E+2
-3.9266E-1	1.0108E+0	-1.2200E+2
-3.9231E-1	1.0098E+0	-4.1100E+2
-3.9195E-1	1.0111E+0	-1.1400E+2
-3.9160E-1	1.0108E+0	-2.6500E+2
-3.9136E-1	1.0103E+0	-3.7000E+2
-3.9101E-1	1.0089E+0	-1.8100E+2
-3.9066E-1	1.0084E+0	-5.4600E+2
-3.9031E-1	1.0084E+0	-8.3200E+2
-3.8995E-1	1.0086E+0	-9.5400E+2
-3.8960E-1	1.0094E+0	-9.7000E+1
-3.8936E-1	1.0079E+0	-6.0200E+2
-3.8901E-1	1.0089E+0	-4.8200E+2
-3.8866E-1	1.0067E+0	-9.5000E+1
-3.8831E-1	1.0067E+0	-4.3200E+2
-3.8795E-1	1.0062E+0	-3.6000E+1
-3.8772E-1	1.0077E+0	-8.1200E+2
-3.8736E-1	1.0062E+0	-6.7000E+1
-3.8701E-1	1.0060E+0	-2.1300E+2
-3.8666E-1	1.0050E+0	-6.7500E+2
